customerId,recommendedProducts
4,226|247|230|125|294|204|248|155|276|72
11,226|247|230|125|294|204|248|155|276|83
12,226|247|230|125|294|204|248|155|276|72
16,226|247|230|125|294|204|248|155|276|72
21,226|247|230|125|294|204|248|155|276|72
32,226|247|230|125|294|204|248|155|276|213
121,226|247|230|125|294|248|204|155|276|72
122,226|247|230|125|294|248|204|155|276|72
123,226|247|230|125|294|248|204|155|276|72
137,226|247|230|125|294|248|204|155|276|72
141,226|247|230|125|294|204|248|155|276|72
152,226|247|230|125|294|248|204|155|276|72
164,226|247|230|125|294|248|204|155|276|72
171,226|247|230|125|294|204|248|155|276|72
182,226|247|230|125|294|204|248|155|276|72
212,247|230|125|294|248|204|155|276|72|213
218,226|247|230|125|294|204|248|155|276|72
247,226|247|230|125|294|248|204|155|276|72
250,226|247|230|125|294|204|248|155|276|72
255,226|247|230|125|294|204|248|155|276|213
261,226|247|230|125|294|204|248|155|276|72
263,226|247|230|125|294|204|248|155|276|72
305,226|247|230|125|294|204|248|155|276|213
320,226|247|230|125|294|204|248|155|276|72
321,226|247|230|125|294|204|248|155|276|72
326,226|247|230|125|294|204|248|155|276|72
339,226|247|230|125|294|204|248|155|276|72
368,226|247|230|125|294|204|248|155|276|72
418,226|247|230|125|294|204|248|155|276|72
447,226|247|230|125|294|204|248|155|276|72
450,226|247|230|125|294|204|248|155|72|276
459,226|247|230|294|204|248|155|276|72|213
462,226|247|230|125|294|248|204|155|276|72
482,226|247|230|125|294|204|248|155|276|72
539,226|247|230|125|294|204|248|155|276|72
543,226|247|230|125|294|248|204|155|276|72
548,226|247|230|125|294|248|204|155|276|72
572,226|247|230|125|294|204|248|155|276|72
594,226|247|230|125|294|204|248|155|276|72
595,226|247|230|125|294|204|248|155|276|72
625,226|247|230|125|294|204|248|155|276|72
654,226|247|230|125|294|204|248|155|276|72
659,226|247|230|125|294|204|248|155|276|72
661,226|247|230|125|294|204|248|155|276|72
665,226|247|230|125|294|204|248|155|276|213
667,226|247|230|125|294|204|248|155|276|72
677,226|247|230|125|294|204|248|155|276|72
690,226|247|230|125|294|204|248|155|276|72
706,226|247|230|125|294|204|248|155|276|72
708,226|247|230|125|294|204|248|155|276|72
718,226|247|230|125|294|204|248|155|276|72
731,226|247|230|125|294|204|248|155|276|72
745,226|247|230|125|294|204|248|155|276|72
788,226|247|230|125|294|204|248|155|276|72
806,226|247|230|125|294|248|204|155|276|72
821,226|247|230|125|294|204|248|155|276|72
837,226|247|230|125|294|204|248|155|276|213
858,226|247|230|125|294|204|248|155|276|72
861,226|247|230|125|294|204|248|155|276|72
862,226|247|230|125|294|248|204|155|276|72
863,226|247|230|125|294|248|204|155|276|72
866,226|247|230|125|294|248|204|155|276|72
884,226|247|230|125|294|248|155|276|72|213
946,226|247|230|125|294|204|248|155|72|276
1037,226|247|230|125|294|204|248|155|72|276
1042,226|247|230|125|294|204|248|155|276|72
1043,226|247|230|125|294|204|248|155|276|213
1057,226|247|230|125|294|248|204|155|276|72
1073,226|247|230|125|294|204|248|155|276|72
1085,226|247|230|125|294|204|248|155|276|72
1090,226|247|230|125|294|248|204|155|276|72
1091,226|247|125|294|204|248|155|276|72|213
1093,226|247|230|125|294|204|248|155|276|72
1111,226|247|230|125|294|204|248|155|276|72
1127,247|230|125|294|204|248|155|276|72|213
1130,226|247|230|125|294|204|248|155|276|72
1137,226|247|230|125|294|248|204|155|276|72
1139,226|247|230|125|294|248|204|155|276|72
1143,226|247|230|125|294|248|204|155|276|72
1149,226|247|230|125|294|204|248|155|276|72
1156,226|247|230|125|294|204|248|155|276|72
1175,226|247|230|125|294|204|248|155|276|72
1178,226|247|230|125|294|204|248|155|276|72
1182,226|247|230|125|294|204|248|155|276|72
1223,226|247|230|125|294|204|248|155|276|72
1245,226|247|230|125|294|204|248|155|276|72
1267,226|247|230|125|204|248|155|276|72|213
1270,226|247|230|125|294|248|204|155|276|72
1286,226|247|230|125|294|204|248|155|276|72
1290,226|247|230|125|294|204|248|155|276|72
1342,226|247|230|125|294|248|204|155|276|72
1347,226|247|230|125|294|204|248|155|276|72
1380,226|247|230|125|294|204|248|155|276|72
1387,226|247|230|125|294|248|204|155|276|72
1412,226|247|230|125|294|248|204|155|276|72
1416,226|247|230|125|294|204|248|155|276|72
1425,226|247|230|125|294|204|248|155|276|72
1434,226|247|230|125|294|204|248|155|276|213
1455,226|247|230|125|294|248|204|155|276|72
1475,226|247|230|125|294|204|248|155|276|72
1504,226|247|230|125|294|204|248|155|276|72
1553,226|247|230|125|294|204|248|155|276|72
1559,226|247|230|125|294|248|204|155|276|72
1583,247|230|125|294|248|204|155|276|72|213
1586,226|247|230|125|294|204|248|155|72|276
1619,226|247|230|125|294|204|248|155|276|72
1653,226|247|230|125|294|204|248|155|276|72
1668,226|247|230|125|294|204|248|155|276|72
1695,226|247|230|125|294|204|248|155|276|213
1705,226|247|230|125|294|248|204|155|276|72
1730,226|247|230|125|294|204|248|155|276|72
1743,226|247|230|125|294|248|204|155|276|72
1757,226|247|230|125|294|204|248|155|276|72
1768,226|247|230|125|294|204|248|155|276|72
1783,226|247|230|125|294|204|248|155|276|72
1851,226|247|230|125|294|248|204|155|276|213
1870,226|247|230|125|294|204|248|155|276|72
1911,226|247|230|125|294|248|204|155|276|72
1916,226|247|230|125|294|204|248|155|276|72
1939,226|247|230|125|294|248|204|155|276|72
1981,226|247|230|125|294|204|248|155|276|72
2008,226|247|230|125|294|248|204|155|276|72
2029,226|247|230|125|294|204|248|155|276|72
2043,226|247|230|125|294|204|248|155|276|72
2052,226|247|230|125|294|204|248|155|276|72
2062,226|247|230|125|294|204|248|155|276|72
2087,226|247|230|125|294|204|248|155|276|72
2143,226|247|230|125|294|248|204|155|276|72
2202,226|247|230|125|294|204|248|155|276|72
2232,226|247|230|125|294|204|248|276|72|213
2265,226|247|230|125|294|204|248|155|276|72
2278,226|247|230|125|294|248|204|155|276|213
2279,226|247|230|125|294|248|204|155|276|72
2283,226|247|230|125|294|248|204|155|276|72
2285,226|247|230|125|294|248|204|155|276|72
2315,226|247|230|125|294|248|204|155|276|72
2347,226|247|230|125|294|204|248|155|276|72
2388,226|247|230|125|294|204|248|155|276|72
2396,226|247|230|125|294|248|204|155|276|213
2403,226|247|230|125|294|204|248|155|276|72
2409,226|247|230|125|294|204|248|155|276|72
2410,226|247|230|125|294|248|204|155|276|72
2414,226|247|230|125|294|204|248|155|276|72
2417,226|247|125|294|204|248|155|276|72|213
2430,226|247|230|125|294|204|248|155|276|72
2466,226|247|230|125|294|204|248|155|276|72
2478,226|247|230|125|294|204|248|155|276|72
2479,226|247|230|125|294|204|248|155|72|276
2531,226|247|230|125|294|204|248|155|276|72
2536,226|247|230|125|294|204|248|155|276|72
2579,226|247|230|125|294|204|248|155|276|72
